City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
329,Phangnga,TH,87.82,overcast clouds,8.4509,98.5298,Sunimit Mansion
331,Kulhudhuffushi,MV,83.43,overcast clouds,6.6221,73.07,Haajy Guest House 1
334,Torbat-E Jam,IR,88.18,clear sky,35.244,60.6225,White building
339,Mamallapuram,IN,89.06,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
345,Bull Savanna,JM,83.41,few clouds,17.8868,-77.5902,Big Red's
346,Samarai,PG,79.32,overcast clouds,-10.6167,150.6667,Nuli Sapi
349,Kieta,PG,78.03,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
352,Puerto Escondido,MX,88.3,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
355,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
361,Pedasi,PA,83.44,scattered clouds,7.5333,-80.0333,Selina Pedasi
362,Kinna,SE,75.74,clear sky,57.5073,12.6946,Hanatorps Camping
371,Anloga,GH,86.22,overcast clouds,5.7947,0.8973,Pin Drop Hotel
374,Faya,SA,77.11,broken clouds,18.3851,42.4509,مقبرة ال مجمل
376,Praya,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
377,Constantine,DZ,81.81,broken clouds,36.365,6.6147,Grand Hotel Cirta
379,Bodden Town,KY,86.0,scattered clouds,19.2833,-81.25,Will T Place
380,Salalah,OM,82.38,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
382,Cap Malheureux,MU,75.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
384,Cam Ranh,VN,82.36,clear sky,11.9214,109.1591,OYO 598 Peony Hotel
385,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
387,Ca Mau,VN,80.65,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
389,Ambon,ID,79.99,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
392,Lata,PT,84.04,broken clouds,40.1629,-8.3327,Casa Maquia
395,Sinnamary,GF,80.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
403,Pitimbu,BR,82.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
405,Harindanga,IN,85.98,scattered clouds,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
408,Thai Binh,VN,86.0,overcast clouds,20.45,106.3333,Sweden Hotel
430,Ajdabiya,LY,82.65,clear sky,30.7554,20.2263,Almadina Hotel
432,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
439,Qazanbulaq,AZ,86.77,clear sky,40.6192,46.6519,Qazanbulaq İsti Su
440,Niort,FR,77.99,few clouds,46.3333,-0.3333,Hôtel Première Classe Niort La Crèche
442,Batu Berendam,MY,80.65,scattered clouds,2.2487,102.246,New Century Hotel Melaka
447,Pilar,BR,80.53,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
450,Arcoverde,BR,79.95,overcast clouds,-8.4189,-37.0539,Max Hotel
464,Hobyo,SO,79.54,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
466,Shahpura,IN,87.13,broken clouds,27.3833,75.9667,Shahpura Haveli
468,Banda Aceh,ID,81.41,broken clouds,5.5577,95.3222,Sulthan Hotel International
471,Hambantota,LK,80.76,broken clouds,6.1241,81.1185,Bungalow 63
473,Honiara,SB,76.23,broken clouds,-9.4333,159.95,Heritage Park Hotel
474,Macae,BR,83.95,few clouds,-22.3708,-41.7869,Personal Hotel
475,Acarau,BR,86.25,clear sky,-2.8856,-40.12,castelo pizzaria
476,Pasir Gudang,MY,84.25,broken clouds,1.4584,103.8805,Swan Garden Hotel
479,Rach Gia,VN,80.55,clear sky,10.0167,105.0833,Nhà Hàng Hòa Giang
481,Owando,CG,82.98,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
