City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Trincomalee,LK,2021-05-30 16:51:18,8.5711,81.2335,82.83,76,36,18.7,scattered clouds
185,Verkhnevilyuysk,RU,2021-05-30 16:51:18,63.4453,120.3167,47.23,58,30,4.03,scattered clouds
186,Coihaique,CL,2021-05-30 16:51:19,-45.5752,-72.0662,47.01,93,90,9.22,moderate rain
187,Kloulklubed,PW,2021-05-30 16:51:19,7.0419,134.2556,83.79,75,100,23.49,overcast clouds
188,Kontagora,NG,2021-05-30 16:51:20,10.3999,5.4695,96.26,29,30,2.28,scattered clouds
189,Santa Marta,CO,2021-05-30 16:51:20,11.2408,-74.199,83.62,72,82,11.39,broken clouds
190,Airai,TL,2021-05-30 16:51:20,-8.9266,125.4092,58.8,90,99,1.61,overcast clouds
191,Nome,US,2021-05-30 16:51:21,64.5011,-165.4064,48.16,36,1,23.02,clear sky
192,Kiama,AU,2021-05-30 16:51:21,-34.6833,150.8667,48.25,81,28,1.99,scattered clouds
193,Changde,CN,2021-05-30 16:51:21,29.0464,111.6783,68.14,88,66,5.44,light rain
194,Manono,CD,2021-05-30 16:51:22,-7.3,27.4167,74.91,37,24,3.42,few clouds
195,Esperance,AU,2021-05-30 16:51:22,-33.8667,121.9,57.04,78,92,26.15,light rain
196,Lunca Cernii De Jos,RO,2021-05-30 16:51:23,45.6333,22.6167,51.69,70,65,6.71,broken clouds
197,Mount Gambier,AU,2021-05-30 16:51:23,-37.8333,140.7667,40.91,87,18,6.91,few clouds
198,Srandakan,ID,2021-05-30 16:51:23,-7.9386,110.2506,62.73,86,42,3.13,scattered clouds
199,Amapa,BR,2021-05-30 16:51:24,1.0,-52.0,82.65,75,43,4.29,scattered clouds
200,Provideniya,RU,2021-05-30 16:51:24,64.3833,-173.3,42.19,54,2,12.08,clear sky
201,Along,IN,2021-05-30 16:51:25,28.1667,94.7667,72.01,93,87,1.79,overcast clouds
202,Aswan,EG,2021-05-30 16:51:25,24.0934,32.907,98.29,11,100,5.66,overcast clouds
203,Komsomolskiy,UZ,2021-05-30 16:51:25,40.4272,71.7189,84.92,21,39,16.11,scattered clouds
204,Gwadar,PK,2021-05-30 16:49:17,25.1216,62.3254,85.33,80,0,13.49,clear sky
205,Namatanai,PG,2021-05-30 16:51:26,-3.6667,152.4333,78.78,83,93,5.82,light rain
206,Severo-Kurilsk,RU,2021-05-30 16:51:26,50.6789,156.125,38.61,97,100,15.23,light rain
207,Saint George,US,2021-05-30 16:49:09,37.1041,-113.5841,90.07,13,1,4.0,clear sky
208,Geraldton,AU,2021-05-30 16:51:27,-28.7667,114.6,57.61,88,90,15.68,light rain
