City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Birjand,32.8663,59.2211,64.87,24,0,6.91,IR,2021-05-24 22:53:04
115,Eureka,40.8021,-124.1637,76.75,68,87,5.99,US,2021-05-24 22:53:05
116,Cayenne,4.9333,-52.3333,77.04,91,90,12.1,GF,2021-05-24 22:53:05
117,Hobyo,5.3505,48.5268,79.74,73,77,19.64,SO,2021-05-24 22:53:06
118,Vila,42.0304,-8.1588,43.7,95,25,3.94,PT,2021-05-24 22:53:06
119,East London,-33.0153,27.9116,75.6,36,100,9.95,ZA,2021-05-24 22:53:06
120,Aldan,58.6031,125.3894,38.59,97,100,2.98,RU,2021-05-24 22:53:07
121,Pisco,-13.7,-76.2167,68.05,73,75,16.11,PE,2021-05-24 22:53:07
122,Bud,39.447,-86.1758,86.34,67,97,4.99,US,2021-05-24 22:53:07
123,Pawayan,28.0667,80.1,79.02,35,30,6.22,IN,2021-05-24 22:53:08
124,Dikson,73.5069,80.5464,21.85,93,27,5.64,RU,2021-05-24 22:53:08
125,Saint-Joseph,-21.3667,55.6167,70.18,77,51,12.06,RE,2021-05-24 22:53:08
126,Orlik,52.5178,99.825,37.44,98,99,2.46,RU,2021-05-24 22:53:09
127,Xinzhi,36.4989,111.7047,64.6,21,59,1.74,CN,2021-05-24 22:53:09
128,Tautira,-17.7333,-149.15,86.02,77,68,8.23,PF,2021-05-24 22:53:10
129,Balud,10.1476,123.6953,78.76,75,30,1.92,PH,2021-05-24 22:53:10
130,Viedma,-40.8135,-62.9967,54.45,65,67,11.16,AR,2021-05-24 22:53:11
131,Norman Wells,65.282,-126.8329,51.84,58,20,14.97,CA,2021-05-24 22:53:11
132,Butaritari,3.0707,172.7902,74.53,91,100,5.5,KI,2021-05-24 22:53:11
133,Mae Ramat,16.984,98.5166,75.27,95,100,1.72,TH,2021-05-24 22:53:12
134,Sioux Lookout,50.1001,-91.917,73.47,56,40,11.5,CA,2021-05-24 22:53:12
135,Barra,-11.0894,-43.1417,78.84,46,10,3.02,BR,2021-05-24 22:53:13
136,Chapais,49.7834,-74.8492,62.38,31,5,10.36,CA,2021-05-24 22:53:13
137,Athabasca,54.7169,-113.2854,59.41,76,100,22.19,CA,2021-05-24 22:53:13
138,Buxton,53.2574,-1.9098,48.36,89,62,1.01,GB,2021-05-24 22:53:14
139,Yar-Sale,66.8333,70.8333,32.77,60,81,4.45,RU,2021-05-24 22:53:14
140,Auning,56.4308,10.3782,55.58,84,100,15.14,DK,2021-05-24 22:53:15
141,Woodbury,42.3833,-96.0336,83.71,67,97,13.69,US,2021-05-24 22:53:15
142,Hay River,60.8156,-115.7999,42.78,42,20,14.97,CA,2021-05-24 22:53:15
143,Dawlatabad,36.4141,64.9053,75.52,13,52,1.68,AF,2021-05-24 22:53:16
144,Haines Junction,60.7522,-137.5108,49.95,62,100,11.5,CA,2021-05-24 22:53:16
145,Mahebourg,-20.4081,57.7,71.89,83,75,5.75,MU,2021-05-24 22:53:17
146,Ponta Do Sol,32.6667,-17.1,68.0,81,42,5.48,PT,2021-05-24 22:53:17
147,Normal,40.5142,-88.9906,85.51,34,1,14.97,US,2021-05-24 22:50:24
148,Quelimane,-17.8786,36.8883,66.15,88,20,5.99,MZ,2021-05-24 22:53:17
149,Khandyga,62.6667,135.6,53.6,52,100,5.39,RU,2021-05-24 22:53:18
150,Albany,42.6001,-73.9662,73.17,44,21,5.93,US,2021-05-24 22:48:38
151,Mayo,38.8876,-76.5119,62.94,77,90,8.01,US,2021-05-24 22:53:18
152,Puerto Ayora,-0.7393,-90.3518,82.36,88,53,5.01,EC,2021-05-24 22:53:19
153,Zhigansk,66.7697,123.3711,48.56,36,98,2.3,RU,2021-05-24 22:53:19
154,Kodiak,57.79,-152.4072,52.83,59,0,6.89,US,2021-05-24 22:53:20
155,Fairbanks,64.8378,-147.7164,70.25,31,1,4.61,US,2021-05-24 22:53:20
156,Tuatapere,-46.1333,167.6833,42.62,67,8,3.2,NZ,2021-05-24 22:50:09
157,Iquique,-20.2208,-70.1431,60.84,69,85,5.06,CL,2021-05-24 22:53:20
158,Nome,64.5011,-165.4064,63.1,43,75,14.5,US,2021-05-24 22:53:21
159,Vryburg,-26.9566,24.7284,51.67,51,19,5.88,ZA,2021-05-24 22:53:21
160,Kavieng,-2.5744,150.7967,80.82,86,99,10.13,PG,2021-05-24 22:53:22
161,Rocha,-34.4833,-54.3333,53.73,72,23,14.52,UY,2021-05-24 22:53:22
162,Gotsu,35.0,132.2167,66.06,79,75,4.7,JP,2021-05-24 22:53:22
163,Mataura,-46.1927,168.8643,40.73,71,4,3.15,NZ,2021-05-24 22:53:23
164,Hajduboszormeny,47.6667,21.5167,56.93,82,100,7.65,HU,2021-05-24 22:53:23
165,Bam,29.106,58.357,84.99,19,19,6.76,IR,2021-05-24 22:52:08
166,Margate,51.3813,1.3862,49.03,79,65,3.0,GB,2021-05-24 22:53:24
167,Marawi,7.9986,124.2928,69.66,86,83,1.77,PH,2021-05-24 22:53:24
168,Broome,42.2506,-75.833,69.58,65,75,3.0,US,2021-05-24 22:53:24
169,Mago,53.2514,140.1822,41.36,88,100,7.99,RU,2021-05-24 22:53:25
170,Georgiyevka,43.0369,74.7114,60.84,70,20,6.58,KZ,2021-05-24 22:53:25
171,Tekeli,44.83,78.8239,59.85,43,3,8.99,KZ,2021-05-24 22:53:26
172,Aklavik,68.2191,-135.0107,47.12,61,79,10.56,CA,2021-05-24 22:53:26
173,Deputatskiy,69.3,139.9,42.4,59,14,4.27,RU,2021-05-24 22:53:26
174,Lagoa,39.05,-27.9833,61.88,72,100,15.39,PT,2021-05-24 22:53:27
175,Havre-Saint-Pierre,50.2334,-63.5986,44.96,57,1,18.41,CA,2021-05-24 22:53:27
176,Tasiilaq,65.6145,-37.6368,32.81,90,100,33.87,GL,2021-05-24 22:53:28
177,Hermanus,-34.4187,19.2345,60.91,79,43,4.97,ZA,2021-05-24 22:53:28
178,Lorengau,-2.0226,147.2712,81.88,84,100,14.61,PG,2021-05-24 22:53:28
179,Turukhansk,65.8167,87.9833,30.49,81,99,20.56,RU,2021-05-24 22:53:29
180,Longyearbyen,78.2186,15.6401,28.24,69,75,10.36,SJ,2021-05-24 22:53:29
181,Bandarbeyla,9.4942,50.8122,81.88,70,0,16.15,SO,2021-05-24 22:52:14
182,Bolu,40.6667,31.5833,53.17,53,15,1.99,TR,2021-05-24 22:52:25
183,Rypefjord,70.6333,23.6667,34.27,80,75,8.05,NO,2021-05-24 22:53:30
184,Anadyr,64.75,177.4833,50.5,70,0,12.3,RU,2021-05-24 22:53:31
185,Shache,38.4167,77.2406,62.76,21,100,8.05,CN,2021-05-24 22:53:31
186,Ulladulla,-35.35,150.4667,63.88,78,100,6.96,AU,2021-05-24 22:53:32
187,Heihe,50.2441,127.4902,48.78,53,78,7.23,CN,2021-05-24 22:53:32
188,Saldanha,-33.0117,17.9442,57.25,91,100,5.32,ZA,2021-05-24 22:50:16
189,Constitucion,-35.3333,-72.4167,55.51,85,10,10.4,CL,2021-05-24 22:53:32
190,Bengkulu,-3.8004,102.2655,75.96,89,95,3.27,ID,2021-05-24 22:53:33
191,La Ronge,55.1001,-105.2842,46.65,93,90,14.97,CA,2021-05-24 22:53:33
192,Ramsey,45.0333,-93.0835,87.94,42,40,1.99,US,2021-05-24 22:53:34
193,Poros,37.4994,23.4536,77.81,58,0,9.24,GR,2021-05-24 22:53:34
194,Xining,36.6167,101.7667,49.33,42,98,2.01,CN,2021-05-24 22:53:34
195,Pestovo,58.5938,35.8024,44.11,97,7,5.3,RU,2021-05-24 22:53:35
196,Grindavik,63.8424,-22.4338,45.07,73,40,14.94,IS,2021-05-24 22:52:23
197,Sembakung,3.8167,117.25,78.73,100,99,2.1,ID,2021-05-24 22:53:35
198,Nikolskoye,59.7035,30.7861,50.4,87,26,4.68,RU,2021-05-24 22:53:36
199,Bogashevo,56.3683,85.1447,52.74,87,0,2.24,RU,2021-05-24 22:53:36
200,San Policarpo,12.1791,125.5072,81.64,84,85,5.46,PH,2021-05-24 22:53:37
201,Salalah,17.0151,54.0924,78.24,83,15,1.99,OM,2021-05-24 22:53:37
202,Dwarka,22.2394,68.9678,82.65,78,8,15.41,IN,2021-05-24 22:53:37
203,Ancud,-41.8697,-73.8203,48.22,73,87,9.42,CL,2021-05-24 22:53:38
204,Tacoronte,28.4769,-16.4102,63.25,88,75,13.8,ES,2021-05-24 22:53:38
205,Kouroussa,10.65,-9.8833,80.83,63,93,2.19,GN,2021-05-24 22:53:39
206,Diapaga,12.0708,1.7889,89.53,41,75,7.7,BF,2021-05-24 22:53:39
207,Micheweni,-4.9667,39.8333,77.68,72,0,14.61,TZ,2021-05-24 22:53:40
208,Phuket,8.0,98.25,86.09,79,40,12.64,TH,2021-05-24 22:49:35
209,Beyneu,45.3167,55.2,78.96,19,1,5.77,KZ,2021-05-24 22:53:40
210,Batemans Bay,-35.7167,150.1833,57.9,79,100,4.88,AU,2021-05-24 22:53:40
211,Abha,18.2164,42.5053,67.82,38,20,0.72,SA,2021-05-24 22:53:41
212,Te Anau,-45.4167,167.7167,40.89,66,12,1.14,NZ,2021-05-24 22:53:41
213,Faanui,-16.4833,-151.75,81.19,76,92,11.9,PF,2021-05-24 22:53:42
214,Pevek,69.7008,170.3133,32.83,86,100,3.69,RU,2021-05-24 22:53:42
215,Krasnoselkup,65.7,82.4667,31.21,71,7,17.47,RU,2021-05-24 22:53:43
216,Bismarck,46.8083,-100.7837,77.86,26,1,10.0,US,2021-05-24 22:52:10
217,Arraial Do Cabo,-22.9661,-42.0278,73.36,60,75,5.75,BR,2021-05-24 22:53:43
218,San Francisco,37.7749,-122.4194,87.78,75,40,7.0,US,2021-05-24 22:49:29
219,Zaragoza,41.6561,-0.8773,59.9,66,40,5.01,ES,2021-05-24 22:53:44
220,Bilibino,68.0546,166.4372,37.62,82,100,2.17,RU,2021-05-24 22:53:44
